Date,Time,CPU (%),RAM (%)
2025-04-28,21:08:43,0.0,8.3
2025-04-28,21:08:53,0.2,8.3
2025-04-28,21:09:03,0.0,8.3
2025-04-28,21:09:13,0.1,8.3
2025-04-28,21:09:23,0.2,8.3
2025-04-28,21:09:33,0.0,8.3
2025-04-28,21:09:43,0.1,8.3
2025-04-28,21:09:53,0.1,8.3
2025-04-28,21:10:03,0.2,8.3
2025-04-28,21:10:13,0.1,8.3
2025-04-28,21:10:23,0.0,8.3
2025-04-28,21:10:33,0.2,8.3
2025-04-28,21:10:43,0.1,8.3
2025-04-28,21:10:53,0.2,8.3
2025-04-28,21:11:03,0.2,8.3
2025-04-28,21:11:13,0.0,8.3
2025-04-28,21:11:23,0.1,8.3
2025-04-28,21:11:33,0.1,8.3
2025-04-28,21:11:43,0.0,8.3
2025-04-28,21:11:53,0.2,8.3
2025-04-28,21:12:03,0.1,8.3
2025-04-28,21:12:13,0.1,8.3
2025-04-28,21:12:23,0.2,8.3
2025-04-28,21:12:33,0.0,8.3
2025-04-28,21:12:43,0.1,8.3
2025-04-28,21:12:53,0.1,8.3
2025-04-28,21:13:03,0.1,8.3
